Name,Length,Name,Length,Name,Length,Name,Length,Name,Length,Name,Length
A0A286X794_CAVPO,485,E1ZSZ5_CHLVA,127,A0A0Q9VYH3_DROVI,1120,RD18_PHYIT,484,A0A509AK33_PLABA,646,AMYG_YEAST,549
A0A286X796_CAVPO,265,E1ZI19_CHLVA,343,A0A0Q9VYH4_DROVI,114,RXLRZ_PHYIT,118,A0A509AQ72_PLABA,147,ATG41_YEAST,136
A0A286X797_CAVPO,471,E1Z3E6_CHLVA,325,A0A0Q9VYH8_DROVI,183,RXLRU_PHYIT,94,A0A509AQ28_PLABA,310,BMS1_YEAST,1183
A0A286X798_CAVPO,270,E1ZHA2_CHLVA,1014,A0A0Q9VYI8_DROVI,197,RXLRC_PHYIT,135,A0A509AK58_PLABA,349,BTN1_YEAST,408
A0A286X799_CAVPO,312,E1ZBC3_CHLVA,603,A0A0Q9VYJ4_DROVI,144,GATB_PHYIT,574,A0A509APB6_PLABA,484,BRE1_YEAST,700
A0A286X7A1_CAVPO,83,E1ZJG5_CHLVA,1521,A0A0Q9VYJ9_DROVI,548,AVR4_PHYIT,287,A0A509AMN5_PLABA,168,BCK2_YEAST,851
A0A286X7A5_CAVPO,316,E1Z424_CHLVA,327,A0A0Q9VYL0_DROVI,126,RXLAA_PHYIT,154,A0A509AEU9_PLABA,736,BSC4_YEAST,131
A0A286X7A6_CAVPO,142,E1Z9J4_CHLVA,513,A0A0Q9VYM6_DROVI,333,RXLRW_PHYIT,678,A0A509AIJ9_PLABA,651,CBF3A_YEAST,956
A0A286X7A7_CAVPO,743,E1Z992_CHLVA,1144,A0A0Q9VYN2_DROVI,2238,SFI7_PHYIT,148,A0A509AVT8_PLABA,470,CDC42_YEAST,191
A0A286X7A8_CAVPO,155,E1ZEJ8_CHLVA,637,A0A0Q9VYP7_DROVI,1254,RD54_PHYIT,381,A0A509AJT5_PLABA,493,CG22_YEAST,491
A0A286X7B0_CAVPO,465,E1ZPB7_CHLVA,364,A0A0Q9VYQ0_DROVI,638,RU1C_PHYIT,138,A0A509AF27_PLABA,191,CDA1_YEAST,301
A0A286X7B1_CAVPO,671,E1Z5E1_CHLVA,864,A0A0Q9VYQ4_DROVI,436,RD1_PHYIT,213,A0A509AMM6_PLABA,175,AIM44_YEAST,758
A0A286X7B4_CAVPO,241,E1ZHD3_CHLVA,327,A0A0Q9VYQ5_DROVI,108,RD50_PHYIT,162,A0A509AJS2_PLABA,728,AAD10_YEAST,288
A0A286X7B5_CAVPO,292,E1Z8X4_CHLVA,104,A0A0Q9VYS1_DROVI,425,RXLRH_PHYIT,165,A0A509APY3_PLABA,83,AAD15_YEAST,143
A0A286X7B6_CAVPO,130,E1ZHK2_CHLVA,466,A0A0Q9VYS5_DROVI,1660,RXLAB_PHYIT,154,A0A509AP96_PLABA,634,ASE1_YEAST,885
A0A286X7B8_CAVPO,243,E1ZNX9_CHLVA,1402,A0A0Q9VYT4_DROVI,56,RXLRG_PHYIT,170,A0A509AHW8_PLABA,396,ATG39_YEAST,398
A0A286X7B9_CAVPO,377,E1ZTA7_CHLVA,270,A0A0Q9VYT7_DROVI,173,FEN1_PHYIT,389,A0A509ACI8_PLABA,1115,CAP_YEAST,526
A0A286X7C0_CAVPO,576,E1Z5U9_CHLVA,656,A0A0Q9VYU7_DROVI,26,CRE16_PHYIT,170,A0A509AV48_PLABA,147,CAPZB_YEAST,287
A0A286X7C2_CAVPO,494,E1ZG95_CHLVA,361,A0A0Q9VYW0_DROVI,262,CRE4_PHYIT,198,A0A509AM49_PLABA,178,AGA1_YEAST,725
A0A286X7C4_CAVPO,465,E1Z2N4_CHLVA,402,A0A0Q9VYW7_DROVI,178,DRE2_PHYIT,277,A0A509ANH4_PLABA,499,ARL3_YEAST,198
A0A286X7C5_CAVPO,1283,E1ZHP9_CHLVA,90,A0A0Q9VYX2_DROVI,353,CRE18_PHYIT,189,A0A509AKQ2_PLABA,236,ALG8_YEAST,577
A0A286X7C7_CAVPO,254,E1Z9T0_CHLVA,395,A0A0Q9VYZ0_DROVI,100,CRE9_PHYIT,140,A0A509AS22_PLABA,564,ARB1_YEAST,610
A0A286X7C9_CAVPO,320,E1Z9I4_CHLVA,1412,A0A0Q9VZ01_DROVI,79,CRE15_PHYIT,349,A0A509ARB7_PLABA,501,ATP5E_YEAST,62
A0A286X7D1_CAVPO,157,E1ZHR1_CHLVA,212,A0A0Q9VZ03_DROVI,1257,EPI1_PHYIT,149,A0A509AE13_PLABA,662,BIT2_YEAST,545
A0A286X7D3_CAVPO,529,E1ZKW4_CHLVA,541,A0A0Q9VZ08_DROVI,102,CRE8_PHYIT,168,A0A509ABW1_PLABA,447,BUD7_YEAST,746
A0A286X7D4_CAVPO,500,E1ZEI3_CHLVA,926,A0A0Q9VZ13_DROVI,139,CRE12_PHYIT,165,A0A509AGS0_PLABA,1650,BDH2_YEAST,417
A0A286X7D5_CAVPO,234,E1Z4J8_CHLVA,344,A0A0Q9VZ14_DROVI,258,EPI10_PHYIT,228,A0A509ATB8_PLABA,128,BOB1_YEAST,980
A0A286X7D6_CAVPO,483,E1ZBQ5_CHLVA,252,A0A0Q9VZ30_DROVI,235,RXLRJ_PHYIT,96,A0A509AN14_PLABA,190,BOI2_YEAST,1040
A0A286X7D9_CAVPO,347,E1ZUB6_CHLVA,167,A0A0Q9VZ45_DROVI,607,RXLRQ_PHYIT,709,A0A509AKQ6_PLABA,1067,BOL3_YEAST,118
A0A286X7E0_CAVPO,558,E1ZPM0_CHLVA,136,A0A0Q9VZ54_DROVI,2998,RD49_PHYIT,164,A0A509AL23_PLABA,751,BAG7_YEAST,409
A0A286X7E1_CAVPO,98,E1ZJ07_CHLVA,434,A0A0Q9VZ64_DROVI,212,RXLRP_PHYIT,238,A0A509ARH8_PLABA,157,BCK1_YEAST,1478
A0A286X7E2_CAVPO,298,E1Z6I5_CHLVA,483,A0A0Q9VZ66_DROVI,1763,RXLRI_PHYIT,173,A0A509AG69_PLABA,351,6PGD1_YEAST,489
A0A286X7E4_CAVPO,40,E1ZH46_CHLVA,720,A0A0Q9VZ69_DROVI,486,RD20_PHYIT,240,A0A509ALK9_PLABA,604,2AAA_YEAST,635
A0A286X7E6_CAVPO,1137,E1Z2W4_CHLVA,1190,A0A0Q9VZ70_DROVI,314,SFI3_PHYIT,127,A0A509AEU1_PLABA,773,ADH5_YEAST,351
A0A286X7F3_CAVPO,522,E1ZJ37_CHLVA,844,A0A0Q9VZ73_DROVI,535,RXLRN_PHYIT,163,A0A509AM38_PLABA,343,ATF1_YEAST,525
A0A286X7F4_CAVPO,326,E1ZDN8_CHLVA,159,A0A0Q9VZ86_DROVI,180,RXLRO_PHYIT,130,A0A509AM98_PLABA,178,ARPC5_YEAST,154
A0A286X7F5_CAVPO,79,E1ZC33_CHLVA,810,A0A0Q9VZ87_DROVI,22,RXLRF_PHYIT,162,A0A509AHU1_PLABA,484,BGL2_YEAST,313
A0A286X7F6_CAVPO,600,E1ZC29_CHLVA,409,A0A0Q9VZ94_DROVI,328,RXLRE_PHYIT,157,A0A509AR36_PLABA,291,BUD23_YEAST,275
A0A286X7F7_CAVPO,350,E1ZLU6_CHLVA,606,A0A0Q9VZ95_DROVI,369,SFI2_PHYIT,128,A0A509ASW6_PLABA,109,BZZ1_YEAST,633
A0A286X7F8_CAVPO,94,E1ZBC2_CHLVA,790,A0A0Q9VZ96_DROVI,781,RXLRK_PHYIT,371,A0A509AFE2_PLABA,257,BOS1_YEAST,244
A0A286X7G0_CAVPO,254,E1ZQ83_CHLVA,659,A0A0Q9VZ99_DROVI,216,RXLRM_PHYIT,154,A0A509AQ10_PLABA,139,CATA_YEAST,515
A0A286X7G2_CAVPO,627,E1ZES8_CHLVA,343,A0A0Q9VZA1_DROVI,373,RXLRS_PHYIT,519,A0A509AHG8_PLABA,1148,CDC27_YEAST,758
A0A286X7G3_CAVPO,221,E1ZPC9_CHLVA,476,A0A0Q9VZA2_DROVI,71,SFI1_PHYIT,107,A0A509AIN8_PLABA,626,CDC45_YEAST,650
A0A286X7G6_CAVPO,226,E1ZN63_CHLVA,300,A0A0Q9VZB5_DROVI,459,RXLRR_PHYIT,516,A0A509AK59_PLABA,1137,CDT1_YEAST,604
A0A286X7G7_CAVPO,251,E1Z248_CHLVA,590,A0A0Q9VZC5_DROVI,144,RXLRY_PHYIT,105,A0A509AN45_PLABA,2119,CHS2_YEAST,963
A0A286X7G8_CAVPO,210,E1ZEY9_CHLVA,607,A0A0Q9VZD5_DROVI,228,RXLRV_PHYIT,509,A0A509AGJ8_PLABA,229,CENPA_YEAST,229
A0A286X7G9_CAVPO,163,E1Z9X6_CHLVA,1216,A0A0Q9VZD8_DROVI,555,RXLAC_PHYIT,198,A0A509AQU8_PLABA,2599,CENPL_YEAST,245
A0A286X7H0_CAVPO,236,E1Z3P4_CHLVA,241,A0A0Q9VZE5_DROVI,162,SFI8_PHYIT,100,A0A509AR37_PLABA,584,CG24_YEAST,460
A0A286X7H1_CAVPO,376,E1ZN82_CHLVA,1038,A0A0Q9VZF3_DROVI,925,RXLRB_PHYIT,197,A0A509AIP5_PLABA,2310,AQY3_YEAST,646
A0A286X7H2_CAVPO,246,E1ZH15_CHLVA,833,A0A0Q9VZG1_DROVI,56,SFI6_PHYIT,129,A0A509ASY5_PLABA,163,ATPJ_YEAST,96
A0A286X7H3_CAVPO,132,E1ZFA8_CHLVA,1099,A0A0Q9VZG3_DROVI,313,CRE2_PHYIT,140,A0A509AN63_PLABA,1664,AVT2_YEAST,480
A0A286X7H4_CAVPO,182,E1ZGP0_CHLVA,392,A0A0Q9VZH8_DROVI,100,CRE10_PHYIT,97,A0A509AMA5_PLABA,1140,ATU2_YEAST,1004
A0A286X7H6_CAVPO,429,E1Z863_CHLVA,475,A0A0Q9VZI0_DROVI,1831,EPI2B_PHYIT,125,A0A509AIR2_PLABA,1242,BIOB_YEAST,375
A0A286X7H7_CAVPO,388,E1ZKN4_CHLVA,438,A0A0Q9VZI2_DROVI,134,EPIC1_PHYIT,126,A0A509AJ56_PLABA,75,BRX1_YEAST,291
A0A286X7H9_CAVPO,274,E1ZH75_CHLVA,847,A0A0Q9VZJ5_DROVI,216,CRE5_PHYIT,254,A0A509AJM7_PLABA,718,CDC16_YEAST,840
A0A286X7I0_CAVPO,1867,E1ZCZ9_CHLVA,648,A0A0Q9VZK9_DROVI,248,EPIC3_PHYIT,131,A0A509ADE5_PLABA,2014,CCW14_YEAST,238
A0A286X7I1_CAVPO,542,E1ZLB5_CHLVA,477,A0A0Q9VZM8_DROVI,619,ARGJ_PHYIT,465,A0A509AGY1_PLABA,655,CG13_YEAST,580
A0A286X7I6_CAVPO,1117,E1ZDQ7_CHLVA,478,A0A0Q9VZN5_DROVI,88,AVR10_PHYIT,135,A0A509AXH0_PLABA,168,ADH3_YEAST,375
A0A286X7J0_CAVPO,665,E1ZFG4_CHLVA,94,A0A0Q9VZQ0_DROVI,1388,BLB2B_PHYIT,100,A0A509AJN8_PLABA,393,APC10_YEAST,250
A0A286X7J1_CAVPO,133,E1ZEA5_CHLVA,1002,A0A0Q9VZQ1_DROVI,266,RXLRT_PHYIT,271,A0A509AUT5_PLABA,455,ARPC4_YEAST,171
A0A286X7J2_CAVPO,289,E1Z6A8_CHLVA,1064,A0A0Q9VZR0_DROVI,466,SFI5_PHYIT,241,A0A509AQW8_PLABA,284,ATC8_YEAST,1656
A0A286X7J3_CAVPO,288,E1ZC79_CHLVA,624,A0A0Q9VZR1_DROVI,146,TRM5_PHYIT,411,A0A509AN27_PLABA,313,AVL9_YEAST,764
A0A286X7J4_CAVPO,206,E1ZCE6_CHLVA,765,A0A0Q9VZR4_DROVI,98,SFI4_PHYIT,339,A0A509AKX2_PLABA,112,ATP14_YEAST,124
A0A286X7J6_CAVPO,364,E1ZAN4_CHLVA,133,A0A0Q9VZS6_DROVI,657,CRE7_PHYIT,171,A0A509ALF5_PLABA,1150,BMT2_YEAST,337
A0A286X7K2_CAVPO,218,E1Z662_CHLVA,457,A0A0Q9VZS7_DROVI,296,D0NF31_PHYIT,232,A0A509AT53_PLABA,224,BNI1_YEAST,1953
A0A286X7K3_CAVPO,191,E1ZFU4_CHLVA,270,A0A0Q9VZS8_DROVI,172,D0NZA7_PHYIT,157,A0A509B079_PLABA,1224,BOL1_YEAST,110
A0A286X7K4_CAVPO,975,E1ZMM1_CHLVA,1085,A0A0Q9VZT0_DROVI,1662,D0NA03_PHYIT,226,A0A509AL04_PLABA,105,BOP2_YEAST,570
A0A286X7K5_CAVPO,139,E1Z5E6_CHLVA,610,A0A0Q9VZT8_DROVI,149,D0NX42_PHYIT,408,A0A509ALC9_PLABA,633,BRE4_YEAST,1125
A0A286X7K6_CAVPO,295,E1ZBY4_CHLVA,270,A0A0Q9VZT9_DROVI,239,D0N620_PHYIT,192,A0A509AW39_PLABA,197,CDC50_YEAST,391
A0A286X7K7_CAVPO,86,E1ZKI5_CHLVA,103,A0A0Q9VZU5_DROVI,537,D0MTZ8_PHYIT,637,A0A509AKH9_PLABA,378,CDC3_YEAST,520
A0A286X7K8_CAVPO,153,E1ZJR3_CHLVA,561,A0A0Q9VZU7_DROVI,1003,D0N0T3_PHYIT,134,A0A509ARZ0_PLABA,671,ACAC_YEAST,2233
A0A286X7K9_CAVPO,816,E1ZL76_CHLVA,516,A0A0Q9VZV3_DROVI,1201,D0N1P5_PHYIT,443,A0A509AQZ6_PLABA,243,ALG12_YEAST,551
A0A286X7L0_CAVPO,1386,E1Z5C3_CHLVA,334,A0A0Q9VZV9_DROVI,510,D0NTF4_PHYIT,123,A0A509AJE1_PLABA,299,ALG13_YEAST,202
A0A286X7L3_CAVPO,535,E1ZKX4_CHLVA,1213,A0A0Q9VZW2_DROVI,504,D0NKM8_PHYIT,177,A0A509AJL5_PLABA,2095,ARLY_YEAST,463
A0A286X7L4_CAVPO,143,E1Z6E4_CHLVA,415,A0A0Q9VZY2_DROVI,621,D0NQZ3_PHYIT,142,A0A509AL13_PLABA,1153,ATM_YEAST,2787
A0A286X7L6_CAVPO,115,E1Z5N0_CHLVA,310,A0A0Q9VZY3_DROVI,110,D0NTG3_PHYIT,115,A0A509AJW3_PLABA,440,ATP11_YEAST,318
A0A286X7L7_CAVPO,465,E1Z5P3_CHLVA,736,A0A0Q9VZZ5_DROVI,699,D0N618_PHYIT,385,A0A509APW5_PLABA,511,BFR2_YEAST,534
A0A286X7L8_CAVPO,168,E1Z3H3_CHLVA,1539,A0A0Q9W000_DROVI,456,D0NPE5_PHYIT,165,A0A509AIB7_PLABA,465,BUD17_YEAST,317
A0A286X7M1_CAVPO,656,E1ZHQ4_CHLVA,430,A0A0Q9W017_DROVI,127,D0MZA4_PHYIT,209,A0A509AQL4_PLABA,434,BIM1_YEAST,344
A0A286X7M2_CAVPO,520,E1ZIB3_CHLVA,119,A0A0Q9W020_DROVI,326,D0N3T8_PHYIT,167,A0A509AKB1_PLABA,274,BUD9_YEAST,547
A0A286X7M3_CAVPO,181,E1Z379_CHLVA,163,A0A0Q9W021_DROVI,448,D0NC52_PHYIT,76,A0A509AIJ2_PLABA,487,BSC6_YEAST,497
A0A286X7M4_CAVPO,91,E1ZSE4_CHLVA,280,A0A0Q9W024_DROVI,714,D0NUR9_PHYIT,431,A0A509AI06_PLABA,512,BXI1_YEAST,297
A0A286X7M7_CAVPO,300,E1Z8K3_CHLVA,1289,A0A0Q9W040_DROVI,133,D0N127_PHYIT,314,A0A509AQR7_PLABA,108,CALM_YEAST,147
A0A286X7M8_CAVPO,407,E1ZNY4_CHLVA,138,A0A0Q9W051_DROVI,286,D0MXF8_PHYIT,637,A0A509AKG2_PLABA,310,TM115_YEAST,342
A0A286X7N0_CAVPO,410,E1ZEY7_CHLVA,98,A0A0Q9W055_DROVI,122,D0P0R1_PHYIT,125,A0A509AK19_PLABA,149,TIP20_YEAST,701
A0A286X7N1_CAVPO,292,E1ZKT5_CHLVA,502,A0A0Q9W056_DROVI,121,D0N0P7_PHYIT,119,A0A509AML9_PLABA,177,TKT2_YEAST,681
A0A286X7N2_CAVPO,341,E1Z2C4_CHLVA,229,A0A0Q9W059_DROVI,123,D0MVP7_PHYIT,108,A0A509AVU1_PLABA,699,TKT1_YEAST,680
A0A286X7N3_CAVPO,161,E1Z8S6_CHLVA,246,A0A0Q9W066_DROVI,2139,D0MVM6_PHYIT,376,A0A509ASI7_PLABA,761,TPS2_YEAST,896
A0A286X7N5_CAVPO,162,E1Z244_CHLVA,424,A0A0Q9W070_DROVI,2693,D0NQS1_PHYIT,147,A0A509AFG0_PLABA,439,TPN1_YEAST,579
A0A286X7N7_CAVPO,229,E1ZQS9_CHLVA,94,A0A0Q9W074_DROVI,1752,D0N619_PHYIT,391,A0A509AQ48_PLABA,484,UBL1_YEAST,236
A0A286X7N9_CAVPO,429,E1ZNW6_CHLVA,102,A0A0Q9W082_DROVI,604,D0NM76_PHYIT,117,A0A509AF02_PLABA,269,VHS3_YEAST,674
A0A286X7P0_CAVPO,661,E1ZRV5_CHLVA,142,A0A0Q9W085_DROVI,547,D0MSV1_PHYIT,246,A0A509AHV6_PLABA,700,VID27_YEAST,782
A0A286X7P3_CAVPO,344,E1ZLC6_CHLVA,176,A0A0Q9W093_DROVI,556,D0N2P7_PHYIT,326,A0A509ALU2_PLABA,364,UTP13_YEAST,817
A0A286X7P4_CAVPO,623,E1ZJN2_CHLVA,160,A0A0Q9W099_DROVI,430,D0P318_PHYIT,240,A0A509AFY9_PLABA,467,XRN2_YEAST,1006
A0A286X7P6_CAVPO,446,E1Z7L8_CHLVA,624,A0A0Q9W0A4_DROVI,195,D0NU86_PHYIT,309,A0A509AV06_PLABA,317,YD057_YEAST,328
A0A286X7P7_CAVPO,205,E1Z9G3_CHLVA,747,A0A0Q9W0A9_DROVI,308,D0N0E1_PHYIT,102,A0A509AQV8_PLABA,889,YM71_YEAST,267
A0A286X7P8_CAVPO,125,E1ZSE9_CHLVA,190,A0A0Q9W0D1_DROVI,452,D0NEA0_PHYIT,398,A0A509AMG5_PLABA,978,YEC5_YEAST,1188
A0A286X7P9_CAVPO,586,E1ZMI1_CHLVA,497,A0A0Q9W0D4_DROVI,409,D0P0I4_PHYIT,358,A0A509AN55_PLABA,639,YSC84_YEAST,468
A0A286X7Q0_CAVPO,262,E1ZTA0_CHLVA,147,A0A0Q9W0F5_DROVI,155,D0N0W9_PHYIT,73,A0A509AWG5_PLABA,716,YRB30_YEAST,440
A0A286X7Q1_CAVPO,434,E1Z6B1_CHLVA,926,A0A0Q9W0F6_DROVI,440,D0NVB4_PHYIT,345,A0A509ALD0_PLABA,363,SUV3_YEAST,737
A0A286X7Q2_CAVPO,371,E1Z841_CHLVA,691,A0A0Q9W0G2_DROVI,515,D0N0T5_PHYIT,331,A0A509AUJ1_PLABA,5522,UPS2_YEAST,230
A0A286X7Q5_CAVPO,353,E1ZK29_CHLVA,523,A0A0Q9W0H1_DROVI,815,D0NPJ3_PHYIT,168,A0A509AM39_PLABA,681,VPS9_YEAST,451
A0A286X7Q8_CAVPO,211,E1ZKJ8_CHLVA,1414,A0A0Q9W0H7_DROVI,2445,D0NDT3_PHYIT,94,A0A509AF47_PLABA,259,VPS35_YEAST,944
A0A286X7R2_CAVPO,316,E1Z5M6_CHLVA,751,A0A0Q9W0J3_DROVI,190,D0NUQ7_PHYIT,39,A0A509AP25_PLABA,623,YEB4_YEAST,101
A0A286X7R3_CAVPO,881,E1ZGP7_CHLVA,347,A0A0Q9W0L2_DROVI,75,D0N2N0_PHYIT,118,A0A509ASV2_PLABA,1740,ZIP2_YEAST,704
A0A286X7R6_CAVPO,548,E1ZKW2_CHLVA,217,A0A0Q9W0M5_DROVI,2419,D0MVP2_PHYIT,171,A0A509AU59_PLABA,322,YL146_YEAST,62
A0A286X7R7_CAVPO,57,E1ZRE1_CHLVA,496,A0A0Q9W0M6_DROVI,390,D0NSE9_PHYIT,136,A0A509AKY6_PLABA,940,YHS7_YEAST,243
A0A286X7R8_CAVPO,380,E1ZCX2_CHLVA,310,A0A0Q9W0P6_DROVI,355,D0MR33_PHYIT,155,A0A509AQL6_PLABA,284,ZNF1_YEAST,465
A0A286X7S2_CAVPO,753,E1ZIH1_CHLVA,465,A0A0Q9W0Q7_DROVI,1043,D0N065_PHYIT,155,A0A509AL84_PLABA,993,SLZ1_YEAST,298
A0A286X7S5_CAVPO,151,E1ZU02_CHLVA,127,A0A0Q9W0S3_DROVI,551,D0NZK5_PHYIT,394,A0A509AJ19_PLABA,1603,UFD4_YEAST,1483
A0A286X7S6_CAVPO,1148,E1Z6C6_CHLVA,395,A0A0Q9W0S5_DROVI,829,D0NTJ4_PHYIT,125,A0A509ANQ2_PLABA,2269,ULA1_YEAST,462
A0A286X7S9_CAVPO,236,E1Z4U1_CHLVA,1187,A0A0Q9W0T4_DROVI,533,D0NIM8_PHYIT,120,A0A509AQ62_PLABA,167,USV1_YEAST,391
A0A286X7T1_CAVPO,350,E1Z7B2_CHLVA,209,A0A0Q9W0T8_DROVI,422,D0NN85_PHYIT,211,A0A509ALE1_PLABA,580,VPS5_YEAST,675
A0A286X7T3_CAVPO,187,E1ZUE3_CHLVA,295,A0A0Q9W0T9_DROVI,538,D0N0X1_PHYIT,73,A0A509AHW7_PLABA,250,VPS21_YEAST,210
A0A286X7T4_CAVPO,673,E1ZDA5_CHLVA,264,A0A0Q9W0U4_DROVI,570,D0NYK0_PHYIT,103,A0A509AI20_PLABA,1300,YD21B_YEAST,1770
A0A286X7T5_CAVPO,287,E1ZIJ3_CHLVA,224,A0A0Q9W0U7_DROVI,959,D0NN62_PHYIT,76,A0A509AYN3_PLABA,1469,PTP1_YEAST,335
